dataElement,period,orgUnit,categoryOptionCombo,attributeOptionCombo,value
URyL7Dv9F4U,202405,DAzDgWYcR87,LdmyQ035OAI,,92
URyL7Dv9F4U,202405,DAzDgWYcR87,m86SGbjvx3c,,38
URyL7Dv9F4U,202405,DAzDgWYcR87,axFk9jGNugE,,100
URyL7Dv9F4U,202405,DAzDgWYcR87,gQdRcUWZFrU,,79
URyL7Dv9F4U,202405,DAzDgWYcR87,eYl3FyS4bO3,,4
URyL7Dv9F4U,202405,DAzDgWYcR87,DBgcRz5pwmx,,21
URyL7Dv9F4U,202405,DAzDgWYcR87,wO7HeAbulnM,,1
URyL7Dv9F4U,202405,DAzDgWYcR87,i4713V3D9wi,,2
YBdu7j2gGjC,202405,DAzDgWYcR87,hyVPPHNEwLB,,32
YBdu7j2gGjC,202405,DAzDgWYcR87,TU97qv4vJ5O,,27
YBdu7j2gGjC,202405,DAzDgWYcR87,az6WUd9cNW8,,7
YBdu7j2gGjC,202405,DAzDgWYcR87,c4FaWCHZi2O,,1
YBdu7j2gGjC,202405,DAzDgWYcR87,ydvrOz9X2My,,14
YBdu7j2gGjC,202405,DAzDgWYcR87,ltwvGENFQ0F,,22
YBdu7j2gGjC,202405,DAzDgWYcR87,prSfkXlKE2r,,3
YBdu7j2gGjC,202405,DAzDgWYcR87,QZCuRi4MOLN,,10
YBdu7j2gGjC,202405,DAzDgWYcR87,NHtO8EwLQ9l,,6
YBdu7j2gGjC,202405,DAzDgWYcR87,NFKXwU6Oeta,,4
YBdu7j2gGjC,202405,DAzDgWYcR87,yDfHPRaDxwe,,2
YBdu7j2gGjC,202405,DAzDgWYcR87,X8pGUJitiVE,,1
YBdu7j2gGjC,202405,DAzDgWYcR87,KAyyHkzmuL1,,1
YBdu7j2gGjC,202405,DAzDgWYcR87,BoN2WhPnYl1,,1
YBdu7j2gGjC,202405,DAzDgWYcR87,zrFplyGIhtL,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,KAyyHkzmuL1,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,NlZJe4oDEFK,,3
YBdu7j2gGjC,202405,K4Rp81pn9ke,FmEMWg0TP1j,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,ydvrOz9X2My,,3
YBdu7j2gGjC,202405,K4Rp81pn9ke,z6KOjZfpQcx,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,rZH5lIUD4nH,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,QZCuRi4MOLN,,4
YBdu7j2gGjC,202405,K4Rp81pn9ke,f95YntMQY6i,,3
YBdu7j2gGjC,202405,K4Rp81pn9ke,zrFplyGIhtL,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,fhtynTWtvqv,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,ldWyKRgvIyU,,3
YBdu7j2gGjC,202405,K4Rp81pn9ke,az6WUd9cNW8,,4
YBdu7j2gGjC,202405,K4Rp81pn9ke,UQaQKObbrwj,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,hyVPPHNEwLB,,6
YBdu7j2gGjC,202405,K4Rp81pn9ke,TU97qv4vJ5O,,6
YBdu7j2gGjC,202405,K4Rp81pn9ke,HYtbCWnAdG9,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,NFKXwU6Oeta,,5
YBdu7j2gGjC,202405,K4Rp81pn9ke,pe07Wvr90Zc,,5
YBdu7j2gGjC,202405,K4Rp81pn9ke,c4FaWCHZi2O,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,X8pGUJitiVE,,4
YBdu7j2gGjC,202405,K4Rp81pn9ke,eSoHGswqAsd,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,T6zWRBnlJhR,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,VZNJvQNlECI,,4
YBdu7j2gGjC,202405,K4Rp81pn9ke,prSfkXlKE2r,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,NHtO8EwLQ9l,,4
YBdu7j2gGjC,202405,K4Rp81pn9ke,Z0jVIrTmC1P,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,Q27GSYLDkGk,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,Z2jmPAIHrel,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,yPnEtFpqtt5,,3
YBdu7j2gGjC,202405,K4Rp81pn9ke,BoN2WhPnYl1,,2
YBdu7j2gGjC,202405,K4Rp81pn9ke,yDfHPRaDxwe,,3
YBdu7j2gGjC,202405,K4Rp81pn9ke,RnaDS67VAvQ,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,PFWJho4V0Bq,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,KY39qXVMOj1,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,X1ckVzLvwRB,,1
YBdu7j2gGjC,202405,K4Rp81pn9ke,NGYepD2stMO,,2
URyL7Dv9F4U,202405,KBwIeXdNrEP,axFk9jGNugE,,2
URyL7Dv9F4U,202405,KBwIeXdNrEP,LdmyQ035OAI,,3
URyL7Dv9F4U,202405,KBwIeXdNrEP,eYl3FyS4bO3,,1
URyL7Dv9F4U,202405,KBwIeXdNrEP,m86SGbjvx3c,,2
URyL7Dv9F4U,202405,KBwIeXdNrEP,gQdRcUWZFrU,,1
URyL7Dv9F4U,202405,KBwIeXdNrEP,DBgcRz5pwmx,,2
YBdu7j2gGjC,202405,KBwIeXdNrEP,f95YntMQY6i,,10
YBdu7j2gGjC,202405,KBwIeXdNrEP,QZCuRi4MOLN,,3
YBdu7j2gGjC,202405,KBwIeXdNrEP,eSoHGswqAsd,,2
YBdu7j2gGjC,202405,KBwIeXdNrEP,ltwvGENFQ0F,,12
YBdu7j2gGjC,202405,KBwIeXdNrEP,tDVcPbjxTPK,,4
YBdu7j2gGjC,202405,KBwIeXdNrEP,FmEMWg0TP1j,,3
YBdu7j2gGjC,202405,KBwIeXdNrEP,c4FaWCHZi2O,,3
YBdu7j2gGjC,202405,KBwIeXdNrEP,z6KOjZfpQcx,,6
YBdu7j2gGjC,202405,KBwIeXdNrEP,az6WUd9cNW8,,6
YBdu7j2gGjC,202405,KBwIeXdNrEP,zrFplyGIhtL,,1
YBdu7j2gGjC,202405,KBwIeXdNrEP,hyVPPHNEwLB,,9
YBdu7j2gGjC,202405,KBwIeXdNrEP,BoN2WhPnYl1,,5
YBdu7j2gGjC,202405,KBwIeXdNrEP,X1ckVzLvwRB,,3
YBdu7j2gGjC,202405,KBwIeXdNrEP,Q27GSYLDkGk,,1
YBdu7j2gGjC,202405,KBwIeXdNrEP,HYtbCWnAdG9,,5
YBdu7j2gGjC,202405,KBwIeXdNrEP,MMyMkF05moq,,3
YBdu7j2gGjC,202405,KBwIeXdNrEP,Z2jmPAIHrel,,3
YBdu7j2gGjC,202405,KBwIeXdNrEP,TU97qv4vJ5O,,4
YBdu7j2gGjC,202405,KBwIeXdNrEP,NHtO8EwLQ9l,,2
YBdu7j2gGjC,202405,KBwIeXdNrEP,yPnEtFpqtt5,,1
YBdu7j2gGjC,202405,KBwIeXdNrEP,NlZJe4oDEFK,,3
YBdu7j2gGjC,202405,KBwIeXdNrEP,UQaQKObbrwj,,3
YBdu7j2gGjC,202405,KBwIeXdNrEP,QdKC55saRRw,,1
YBdu7j2gGjC,202405,KBwIeXdNrEP,pe07Wvr90Zc,,1
YBdu7j2gGjC,202405,KBwIeXdNrEP,ldWyKRgvIyU,,2
YBdu7j2gGjC,202405,KBwIeXdNrEP,rZH5lIUD4nH,,1
YBdu7j2gGjC,202405,KBwIeXdNrEP,Z0jVIrTmC1P,,1
YBdu7j2gGjC,202405,KBwIeXdNrEP,KAyyHkzmuL1,,2
YBdu7j2gGjC,202405,KBwIeXdNrEP,prSfkXlKE2r,,1
YBdu7j2gGjC,202405,KBwIeXdNrEP,yDfHPRaDxwe,,1
YBdu7j2gGjC,202405,KBwIeXdNrEP,ydvrOz9X2My,,1
URyL7Dv9F4U,202405,KYB11OcHLUo,axFk9jGNugE,,102
URyL7Dv9F4U,202405,KYB11OcHLUo,DBgcRz5pwmx,,38
URyL7Dv9F4U,202405,KYB11OcHLUo,LdmyQ035OAI,,88
URyL7Dv9F4U,202405,KYB11OcHLUo,m86SGbjvx3c,,54
URyL7Dv9F4U,202405,KYB11OcHLUo,gQdRcUWZFrU,,93
URyL7Dv9F4U,202405,KYB11OcHLUo,eYl3FyS4bO3,,12
URyL7Dv9F4U,202405,KYB11OcHLUo,jFLRuq8sI4g,,1
URyL7Dv9F4U,202405,KYB11OcHLUo,wO7HeAbulnM,,1
URyL7Dv9F4U,202405,KYB11OcHLUo,OagU5JAnAB2,,1
URyL7Dv9F4U,202405,KYB11OcHLUo,i4713V3D9wi,,1
YBdu7j2gGjC,202405,KYB11OcHLUo,ltwvGENFQ0F,,22
YBdu7j2gGjC,202405,KYB11OcHLUo,VZNJvQNlECI,,8
YBdu7j2gGjC,202405,KYB11OcHLUo,az6WUd9cNW8,,24
YBdu7j2gGjC,202405,KYB11OcHLUo,X1ckVzLvwRB,,25
YBdu7j2gGjC,202405,KYB11OcHLUo,NHtO8EwLQ9l,,23
YBdu7j2gGjC,202405,KYB11OcHLUo,pe07Wvr90Zc,,9
YBdu7j2gGjC,202405,KYB11OcHLUo,NFKXwU6Oeta,,18
YBdu7j2gGjC,202405,KYB11OcHLUo,TU97qv4vJ5O,,48
YBdu7j2gGjC,202405,KYB11OcHLUo,Z0jVIrTmC1P,,12
YBdu7j2gGjC,202405,KYB11OcHLUo,c4FaWCHZi2O,,27
YBdu7j2gGjC,202405,KYB11OcHLUo,ydvrOz9X2My,,29
YBdu7j2gGjC,202405,KYB11OcHLUo,f95YntMQY6i,,31
YBdu7j2gGjC,202405,KYB11OcHLUo,hyVPPHNEwLB,,43
YBdu7j2gGjC,202405,KYB11OcHLUo,ldWyKRgvIyU,,22
YBdu7j2gGjC,202405,KYB11OcHLUo,frIsAnU6KOZ,,6
YBdu7j2gGjC,202405,KYB11OcHLUo,yDfHPRaDxwe,,4
YBdu7j2gGjC,202405,KYB11OcHLUo,UQaQKObbrwj,,12
YBdu7j2gGjC,202405,KYB11OcHLUo,PFWJho4V0Bq,,4
YBdu7j2gGjC,202405,KYB11OcHLUo,prSfkXlKE2r,,9
YBdu7j2gGjC,202405,KYB11OcHLUo,zrFplyGIhtL,,3
YBdu7j2gGjC,202405,KYB11OcHLUo,QZCuRi4MOLN,,4
YBdu7j2gGjC,202405,KYB11OcHLUo,Q27GSYLDkGk,,2
YBdu7j2gGjC,202405,KYB11OcHLUo,NGYepD2stMO,,2
YBdu7j2gGjC,202405,KYB11OcHLUo,BoN2WhPnYl1,,3
YBdu7j2gGjC,202405,KYB11OcHLUo,NlZJe4oDEFK,,4
YBdu7j2gGjC,202405,KYB11OcHLUo,tDVcPbjxTPK,,1
YBdu7j2gGjC,202405,KYB11OcHLUo,MMyMkF05moq,,2
YBdu7j2gGjC,202405,KYB11OcHLUo,RnKGfzcpePu,,1
YBdu7j2gGjC,202405,KYB11OcHLUo,z6KOjZfpQcx,,2
YBdu7j2gGjC,202405,KYB11OcHLUo,rZH5lIUD4nH,,2
YBdu7j2gGjC,202405,KYB11OcHLUo,FmEMWg0TP1j,,1
YBdu7j2gGjC,202405,KYB11OcHLUo,X8pGUJitiVE,,3
YBdu7j2gGjC,202405,KYB11OcHLUo,Z2jmPAIHrel,,1
YBdu7j2gGjC,202405,KYB11OcHLUo,KY39qXVMOj1,,1
YBdu7j2gGjC,202405,KYB11OcHLUo,HYtbCWnAdG9,,1
URyL7Dv9F4U,202405,LkGWB1A0zSy,gQdRcUWZFrU,,84
URyL7Dv9F4U,202405,LkGWB1A0zSy,eYl3FyS4bO3,,9
URyL7Dv9F4U,202405,LkGWB1A0zSy,LdmyQ035OAI,,104
URyL7Dv9F4U,202405,LkGWB1A0zSy,DBgcRz5pwmx,,46
URyL7Dv9F4U,202405,LkGWB1A0zSy,axFk9jGNugE,,106
URyL7Dv9F4U,202405,LkGWB1A0zSy,m86SGbjvx3c,,73
URyL7Dv9F4U,202405,LkGWB1A0zSy,OagU5JAnAB2,,3
URyL7Dv9F4U,202405,LkGWB1A0zSy,wO7HeAbulnM,,1
URyL7Dv9F4U,202405,LkGWB1A0zSy,THz9WIOohkb,,3
URyL7Dv9F4U,202405,LkGWB1A0zSy,MRGBPtNHxDx,,2
URyL7Dv9F4U,202405,LkGWB1A0zSy,i4713V3D9wi,,1
YBdu7j2gGjC,202405,LkGWB1A0zSy,PFWJho4V0Bq,,2
YBdu7j2gGjC,202405,LkGWB1A0zSy,f95YntMQY6i,,1
YBdu7j2gGjC,202405,LkGWB1A0zSy,ydvrOz9X2My,,10
YBdu7j2gGjC,202405,LkGWB1A0zSy,prSfkXlKE2r,,2
YBdu7j2gGjC,202405,LkGWB1A0zSy,TU97qv4vJ5O,,8
YBdu7j2gGjC,202405,LkGWB1A0zSy,MMyMkF05moq,,4
YBdu7j2gGjC,202405,LkGWB1A0zSy,Z0jVIrTmC1P,,4
YBdu7j2gGjC,202405,LkGWB1A0zSy,yDfHPRaDxwe,,3
YBdu7j2gGjC,202405,LkGWB1A0zSy,NHtO8EwLQ9l,,5
YBdu7j2gGjC,202405,LkGWB1A0zSy,hyVPPHNEwLB,,13
YBdu7j2gGjC,202405,LkGWB1A0zSy,ltwvGENFQ0F,,4
YBdu7j2gGjC,202405,LkGWB1A0zSy,az6WUd9cNW8,,3
YBdu7j2gGjC,202405,LkGWB1A0zSy,VZNJvQNlECI,,1
YBdu7j2gGjC,202405,LkGWB1A0zSy,BoN2WhPnYl1,,1
YBdu7j2gGjC,202405,LkGWB1A0zSy,frIsAnU6KOZ,,2
YBdu7j2gGjC,202405,LkGWB1A0zSy,ldWyKRgvIyU,,1
YBdu7j2gGjC,202405,LkGWB1A0zSy,UQaQKObbrwj,,1
YBdu7j2gGjC,202405,LkGWB1A0zSy,Z2jmPAIHrel,,1
YBdu7j2gGjC,202405,LkGWB1A0zSy,NFKXwU6Oeta,,2
YBdu7j2gGjC,202405,LkGWB1A0zSy,c4FaWCHZi2O,,1
YBdu7j2gGjC,202405,LkGWB1A0zSy,pe07Wvr90Zc,,1
YBdu7j2gGjC,202405,LkGWB1A0zSy,HYtbCWnAdG9,,1
YBdu7j2gGjC,202405,LkGWB1A0zSy,X1ckVzLvwRB,,1
URyL7Dv9F4U,202405,Me0dT6DRkKk,m86SGbjvx3c,,52
URyL7Dv9F4U,202405,Me0dT6DRkKk,axFk9jGNugE,,82
URyL7Dv9F4U,202405,Me0dT6DRkKk,gQdRcUWZFrU,,74
URyL7Dv9F4U,202405,Me0dT6DRkKk,DBgcRz5pwmx,,34
URyL7Dv9F4U,202405,Me0dT6DRkKk,LdmyQ035OAI,,73
URyL7Dv9F4U,202405,Me0dT6DRkKk,eYl3FyS4bO3,,5
URyL7Dv9F4U,202405,Me0dT6DRkKk,i4713V3D9wi,,2
URyL7Dv9F4U,202405,Me0dT6DRkKk,bXSSO7TWzvW,,1
YBdu7j2gGjC,202405,Me0dT6DRkKk,NHtO8EwLQ9l,,4
YBdu7j2gGjC,202405,Me0dT6DRkKk,ldWyKRgvIyU,,2
YBdu7j2gGjC,202405,Me0dT6DRkKk,HYtbCWnAdG9,,1
YBdu7j2gGjC,202405,Me0dT6DRkKk,prSfkXlKE2r,,1
YBdu7j2gGjC,202405,Me0dT6DRkKk,hyVPPHNEwLB,,4
YBdu7j2gGjC,202405,Me0dT6DRkKk,yDfHPRaDxwe,,1
YBdu7j2gGjC,202405,Me0dT6DRkKk,TU97qv4vJ5O,,3
YBdu7j2gGjC,202405,Me0dT6DRkKk,pe07Wvr90Zc,,2
YBdu7j2gGjC,202405,Me0dT6DRkKk,f95YntMQY6i,,4
YBdu7j2gGjC,202405,Me0dT6DRkKk,Q27GSYLDkGk,,1
YBdu7j2gGjC,202405,Me0dT6DRkKk,az6WUd9cNW8,,4
YBdu7j2gGjC,202405,Me0dT6DRkKk,ydvrOz9X2My,,3
YBdu7j2gGjC,202405,Me0dT6DRkKk,frIsAnU6KOZ,,2
YBdu7j2gGjC,202405,Me0dT6DRkKk,UQaQKObbrwj,,1
YBdu7j2gGjC,202405,Me0dT6DRkKk,X1ckVzLvwRB,,1
YBdu7j2gGjC,202405,Me0dT6DRkKk,c4FaWCHZi2O,,3
YBdu7j2gGjC,202405,Me0dT6DRkKk,fhtynTWtvqv,,1
YBdu7j2gGjC,202405,Me0dT6DRkKk,VZNJvQNlECI,,1
YBdu7j2gGjC,202405,Me0dT6DRkKk,NFKXwU6Oeta,,2
YBdu7j2gGjC,202405,Me0dT6DRkKk,yPnEtFpqtt5,,1
YBdu7j2gGjC,202405,Me0dT6DRkKk,Z0jVIrTmC1P,,2
YBdu7j2gGjC,202405,Me0dT6DRkKk,QZCuRi4MOLN,,1
YBdu7j2gGjC,202405,Me0dT6DRkKk,NlZJe4oDEFK,,1
YBdu7j2gGjC,202405,Me0dT6DRkKk,z6KOjZfpQcx,,1
YBdu7j2gGjC,202405,Me0dT6DRkKk,zrFplyGIhtL,,1
YBdu7j2gGjC,202405,O6AwtjumLhU,zrFplyGIhtL,,2
YBdu7j2gGjC,202405,O6AwtjumLhU,QZCuRi4MOLN,,11
YBdu7j2gGjC,202405,O6AwtjumLhU,Z0jVIrTmC1P,,2
YBdu7j2gGjC,202405,O6AwtjumLhU,f95YntMQY6i,,7
YBdu7j2gGjC,202405,O6AwtjumLhU,ltwvGENFQ0F,,4
YBdu7j2gGjC,202405,O6AwtjumLhU,ydvrOz9X2My,,14
YBdu7j2gGjC,202405,O6AwtjumLhU,pe07Wvr90Zc,,2
YBdu7j2gGjC,202405,O6AwtjumLhU,PFWJho4V0Bq,,1
YBdu7j2gGjC,202405,O6AwtjumLhU,X8pGUJitiVE,,2
YBdu7j2gGjC,202405,O6AwtjumLhU,z6KOjZfpQcx,,3
YBdu7j2gGjC,202405,O6AwtjumLhU,HYtbCWnAdG9,,2
YBdu7j2gGjC,202405,O6AwtjumLhU,NHtO8EwLQ9l,,3
YBdu7j2gGjC,202405,O6AwtjumLhU,T6zWRBnlJhR,,1
YBdu7j2gGjC,202405,O6AwtjumLhU,X1ckVzLvwRB,,6
YBdu7j2gGjC,202405,O6AwtjumLhU,fhtynTWtvqv,,1
YBdu7j2gGjC,202405,O6AwtjumLhU,hyVPPHNEwLB,,13
YBdu7j2gGjC,202405,O6AwtjumLhU,MMyMkF05moq,,2
YBdu7j2gGjC,202405,O6AwtjumLhU,az6WUd9cNW8,,8
YBdu7j2gGjC,202405,O6AwtjumLhU,UQaQKObbrwj,,4
YBdu7j2gGjC,202405,O6AwtjumLhU,ldWyKRgvIyU,,4
YBdu7j2gGjC,202405,O6AwtjumLhU,c4FaWCHZi2O,,3
YBdu7j2gGjC,202405,O6AwtjumLhU,TU97qv4vJ5O,,5
YBdu7j2gGjC,202405,O6AwtjumLhU,Q27GSYLDkGk,,1
YBdu7j2gGjC,202405,O6AwtjumLhU,NFKXwU6Oeta,,4
YBdu7j2gGjC,202405,O6AwtjumLhU,KAyyHkzmuL1,,1
YBdu7j2gGjC,202405,O6AwtjumLhU,FmEMWg0TP1j,,2
YBdu7j2gGjC,202405,O6AwtjumLhU,VZNJvQNlECI,,1
YBdu7j2gGjC,202405,O6AwtjumLhU,RnKGfzcpePu,,1
YBdu7j2gGjC,202405,O6AwtjumLhU,yPnEtFpqtt5,,1
